EnterpriseName,Profile,RegistrationYear,Activities
Komli,"Agri-tourism, culinary, gastronomy",2017,Participation in agriculture
Komli,"Agri-tourism, culinary, gastronomy",2017,Demonstration farm-to-table concept
Komli,"Agri-tourism, culinary, gastronomy",2017,Demonstration of activities
Komli,"Agri-tourism, culinary, gastronomy",2017,Culinary offers
Komli,"Agri-tourism, culinary, gastronomy",2017,Food & wine tasting
Komli,"Agri-tourism, culinary, gastronomy",2017,Telling stories
Komli,"Agri-tourism, culinary, gastronomy",2017,B&B service
Komli,"Agri-tourism, culinary, gastronomy",2017,Excursions
Korena,"Agri-tourism, culinary, gastronomy",2008,Culinary offers
Korena,"Agri-tourism, culinary, gastronomy",2008,Food & wine tasting
Korena,"Agri-tourism, culinary, gastronomy",2008,Telling stories
Korena,"Agri-tourism, culinary, gastronomy",2008,B&B service
Korena,"Agri-tourism, culinary, gastronomy",2008,Educaiton camping
Korena,"Agri-tourism, culinary, gastronomy",2008,Folk dance
Korena,"Agri-tourism, culinary, gastronomy",2008,Excursions
Sisatura,"Agri-tourism, culinary, gastronomy",2017,Culinary offers
Sisatura,"Agri-tourism, culinary, gastronomy",2017,Food & wine tasting
Sisatura,"Agri-tourism, culinary, gastronomy",2017,Telling stories
Sisatura,"Agri-tourism, culinary, gastronomy",2017,B&B service
Sisatura,"Agri-tourism, culinary, gastronomy",2017,Folk dance
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Participation in agriculture
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Culinary offers
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Food & wine tasting
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,B&B service
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Folk dance
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Excursions
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Organizing events
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Outdoor recreation
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Ranch
Lost Ridge,"Agri-tourism, culinary, gastronomy",2015,Direct sales of local products
Zaza Ivanidze Studio,"Agri-tourism, culinary, gastronomy",2017,Participation in agriculture
Zaza Ivanidze Studio,"Agri-tourism, culinary, gastronomy",2017,Demonstration of activities
Zaza Ivanidze Studio,"Agri-tourism, culinary, gastronomy",2017,Direct sales of local products
Lagazi,"Agri-tourism, culinary, gastronomy",2016,Demonstration of activities
Lagazi,"Agri-tourism, culinary, gastronomy",2016,Food & wine tasting
Lagazi,"Agri-tourism, culinary, gastronomy",2016,Folk dance
Lagazi,"Agri-tourism, culinary, gastronomy",2016,Excursions
Lagazi,"Agri-tourism, culinary, gastronomy",2016,Direct sales of local products
Valodia’s Cottages,"Agri-tourism, culinary, gastronomy",2009,Food & wine tasting
Valodia’s Cottages,"Agri-tourism, culinary, gastronomy",2009,B&B service
Valodia’s Cottages,"Agri-tourism, culinary, gastronomy",2009,Direct sales of local products
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,Culinary offers
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,Food & wine tasting
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,B&B service
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,Organizing events
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,Outdoor recreation
Babaneuli Chateu,"Agri-tourism, culinary, gastronomy",2017,Direct sales of local products
Megruli Oda,Gastrotourism,2015,Food & wine tasting
Megruli Oda,Gastrotourism,2015,Telling stories
Megruli Oda,Gastrotourism,2015,Direct sales of local products
Marleta,Gastrotourism,2015,Culinary offers
Marleta,Gastrotourism,2015,Food & wine tasting
Marleta,Gastrotourism,2015,Demonstration of activities
Marleta,Gastrotourism,2015,Organizing events
Marleta,Gastrotourism,2015,Direct sales of local products
Khevsureti and Community,Ethno-tourism,NA,Culinary offers
Khevsureti and Community,Ethno-tourism,NA,Food & wine tasting
Khevsureti and Community,Ethno-tourism,NA,Demonstration of activities
