source,target,value,group
"Agri-tourism, culinary, gastronomy",B&B service,6,a_1
"Agri-tourism, culinary, gastronomy",Culinary offers,5,a_1
"Agri-tourism, culinary, gastronomy",Demonstration farm to the table concept,1,a_1
"Agri-tourism, culinary, gastronomy",Demonstration of activities,3,a_1
"Agri-tourism, culinary, gastronomy",Direct sales of local products,5,a_1
"Agri-tourism, culinary, gastronomy",Educaiton camping,1,a_1
"Agri-tourism, culinary, gastronomy",Excursions,4,a_1
"Agri-tourism, culinary, gastronomy",Folk and dance,4,a_1
"Agri-tourism, culinary, gastronomy",Food & wine tasting,7,a_1
"Agri-tourism, culinary, gastronomy",Organizing events,2,a_1
"Agri-tourism, culinary, gastronomy",Outdoor recreation,2,a_1
"Agri-tourism, culinary, gastronomy",Participation in agriculture,3,a_1
"Agri-tourism, culinary, gastronomy",Ranch,1,a_1
"Agri-tourism, culinary, gastronomy",Telling stories,3,a_1
Creative Tourism,B&B service,3,a_2
Creative Tourism,Culinary offers,3,a_2
Creative Tourism,Demonstration of activities,7,a_2
Creative Tourism,Direct sales of local products,6,a_2
Creative Tourism,Excursions,1,a_2
Creative Tourism,Food & wine tasting,1,a_2
Creative Tourism,Master classes in art & crafts,6,a_2
Creative Tourism,Organizing events,1,a_2
Creative Tourism,Outdoor recreation,1,a_2
Eco tourism,B&B service,3,a_3
Eco tourism,Excursions,1,a_3
Eco tourism,Organizing events,1,a_3
Eco tourism,Outdoor recreation,3,a_3
Ethno-tourism,B&B service,2,a_4
Ethno-tourism,Culinary offers,1,a_4
Ethno-tourism,Demonstration of activities,2,a_4
Ethno-tourism,Direct sales of local products,1,a_4
Ethno-tourism,Food & wine tasting,2,a_4
Ethno-tourism,Master classes in art & crafts,1,a_4
Ethno-tourism,Organizing events,1,a_4
Gastro tourism,Culinary offers,1,a_5
Gastro tourism,Demonstration of activities,1,a_5
Gastro tourism,Direct sales of local products,2,a_5
Gastro tourism,Food & wine tasting,2,a_5
Gastro tourism,Organizing events,1,a_5
Gastro tourism,Telling stories,1,a_5
B&B service,Escapism,14,a_6
Culinary offers,Aesthetic,10,a_7
Demonstration farm to the table concept,Entertaitment,1,a_8
Demonstration of activities,Aesthetic,13,a_9
Educaiton camping,Escapism,14,a_11
Excursions,Escapism,1,a_12
Folk and dance,Entertaitment,6,a_13
Food & wine tasting,Aesthetic,4,a_14
Master classes in art & crafts,Education,12,a_15
Organizing events,Entertaitment,7,a_16
Outdoor recreation,Escapism,6,a_17
Participation in agriculture,Entertaitment,6,a_18
Ranch,Escapism,3,a_19
Telling stories,Entertaitment,1,a_20
