"month","index_year","Trips"
"January","Year_2008",2129
"January","Year_2009",325
"January","Year_2013",10588
"January","Year_2014",15281
"January","Year_2015",-2895
"January","Year_2016",4047
"January","Year_2018",9066
"January","Year_2019",12169
"February","Year_2008",2164
"February","Year_2009",-271
"February","Year_2013",15980
"February","Year_2014",8558
"February","Year_2015",-1838
"February","Year_2016",8894
"February","Year_2018",13713
"February","Year_2019",11154
"March","Year_2008",1719
"March","Year_2009",768
"March","Year_2013",18140
"March","Year_2014",13954
"March","Year_2015",-147
"March","Year_2016",7888
"March","Year_2018",24697
"March","Year_2019",25243
"April","Year_2008",1937
"April","Year_2009",-1631
"April","Year_2013",13871
"April","Year_2014",17281
"April","Year_2015",-382
"April","Year_2016",15714
"April","Year_2018",37567
"April","Year_2019",31703
"May","Year_2008",3504
"May","Year_2009",-1440
"May","Year_2013",22809
"May","Year_2014",-2592
"May","Year_2015",21309
"May","Year_2016",13370
"May","Year_2018",17033
"May","Year_2019",67586
"June","Year_2008",7125
"June","Year_2009",-2243
"June","Year_2013",25768
"June","Year_2014",-15508
"June","Year_2015",28616
"June","Year_2016",4322
"June","Year_2018",36085
"June","Year_2019",40929
"July","Year_2008",9244
"July","Year_2009",-2171
"July","Year_2013",31701
"July","Year_2014",15589
"July","Year_2015",8757
"July","Year_2016",-3783
"July","Year_2018",28051
"July","Year_2019",-29742
"August","Year_2008",-1846
"August","Year_2009",5142
"August","Year_2013",43001
"August","Year_2014",-9676
"August","Year_2015",30097
"August","Year_2016",19225
"August","Year_2018",40693
"August","Year_2019",-17146
"September","Year_2008",-3171
"September","Year_2009",5566
"September","Year_2013",23871
"September","Year_2014",556
"September","Year_2015",10148
"September","Year_2016",28435
"September","Year_2018",41122
"September","Year_2019",-35120
"October","Year_2008",-1175
"October","Year_2009",3899
"October","Year_2013",17987
"October","Year_2014",1184
"October","Year_2015",10343
"October","Year_2016",10178
"October","Year_2018",34590
"October","Year_2019",-15989
"November","Year_2008",996
"November","Year_2009",2566
"November","Year_2013",16265
"November","Year_2014",-4496
"November","Year_2015",3697
"November","Year_2016",5505
"November","Year_2018",17064
"November","Year_2019",-6753
"December","Year_2008",472
"December","Year_2009",2968
"December","Year_2013",13644
"December","Year_2014",6095
"December","Year_2015",4818
"December","Year_2016",-1247
"December","Year_2018",12773
"December","Year_2019",3800
