year,establishments_ge,establishments_en,number,bed_thousand,carrying_capacity
1939,სანატორიუმი,Sanatorium,71,8.4,
1945,სანატორიუმი,Sanatorium,28,2.2,
1950,სანატორიუმი,Sanatorium,94,10.2,
1960,სანატორიუმი,Sanatorium,82,13.3,
1967,სანატორიუმი,Sanatorium,84,16.1,
1939,დასასვენებლი სახლი,Holiday house,60,5.8,
1945,დასასვენებლი სახლი,Holiday house,8,0.4,
1950,დასასვენებლი სახლი,Holiday house,35,3.1,
1960,დასასვენებლი სახლი,Holiday house,39,6.7,
1967,დასასვენებლი სახლი,Holiday house,43,10,
1939,პანსიონატი,Boarding house,,,
1945,პანსიონატი,Boarding house,,,
1950,პანსიონატი,Boarding house,,,
1960,პანსიონატი,Boarding house,13,1.2,
1967,პანსიონატი,Boarding house,18,5.7,
1950,ტურბაზა (ტურისტული ბაზა),Turbaza,11,1.4,30
1960,ტურბაზა (ტურისტული ბაზა),Turbaza,34,4.5,86
1965,ტურბაზა (ტურისტული ბაზა),Turbaza,35,6,130
1966,ტურბაზა (ტურისტული ბაზა),Turbaza,35,6.8,207
1969,ტურბაზა (ტურისტული ბაზა),Turbaza,39,8.9,376
1989,ტურისტული/საკურორტო დაწესებულება,Tourism/resort establishments,624,152.2,
